headers;"Код заказа";Серия;"Интерфейс управления";"Номинальный ток, А";"Пиковый ток, А";"Номинальная мощность, Вт";"Номинальное напряжение питания";"Функции безопасности";"Дискретные входы";"Дискретные выходы";"Аналоговые входы";"Аналоговые выходы";"Быстрые/энкодерные входы";"Поддерживаемые энкодеры двигателя";"Рекомендуемый тормозной резистор";price;stock
CMMR-AS-C-C12-11A-P3-IO-S0;Базовая;"PULSE/DIR, DIO, AIO, Modbus-RTU";12;36;6300;"3Ф 380 VAC";Базовые;"4, NPN";"3, NPN";"2, напряжение";нет;"4, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit";"SR 20/102";57437.41;"0 шт"
CMMR-AS-C-C7-11A-P3-IO-S0;Базовая;"PULSE/DIR, DIO, AIO, Modbus-RTU";7;21;3800;"3Ф 380 VAC";Базовые;"4, NPN";"3, NPN";"2, напряжение";нет;"4, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit";"SR 20/101";52485.91;"0 шт"
CMMR-AS-C27-11A-P3-EC-S1;Стандартная;EtherCAT;27;81;14000;"3Ф 380 VAC";STO;"4, PNP/NPN";"3, PNP/NPN";"2, напряжение";нет;"2, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SRH 2400/60";123438;"0 шт"
CMMR-AS-C15-3A-CO-S1;Стандартная;CANopen;15;22;2500;"1Ф 220 VAC";STO;"10, PNP/NPN";"6, PNP/NPN";"2, напряжение";"1, напряжение";"4, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SR 20/100";64421.29;"0 шт"
CMMR-AS-C3-3A-IO-S1;Стандартная;"PULSE/DIR, DIO, AIO, Modbus-RTU";3;4.5;500;"1Ф 220 VAC";STO;"10, PNP/NPN";"6, PNP/NPN";"2, напряжение";"1, напряжение";"4, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SR 20/450";29734.89;"0 шт"
CMMR-AS-C45-11A-P3-EC-S1;Стандартная;EtherCAT;45;135;24000;"3Ф 380 VAC";STO;"4, PNP/NPN";"3, PNP/NPN";"2, напряжение";нет;"2, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SRH 3600/27";213982.50;"0 шт"
CMMR-AS-C16-11A-P3-PN-S1;Стандартная;PROFINET;16;48;8500;"3Ф 380 VAC";STO;"4, PNP/NPN";"3, PNP/NPN";"2, напряжение";нет;"2, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SRH 1600/100";119379.71;"0 шт"
CMMR-AS-C20-11A-P3-EC-S1;Стандартная;EtherCAT;20;60;10500;"3Ф 380 VAC";STO;"4, PNP/NPN";"3, PNP/NPN";"2, напряжение";нет;"2, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SRH 1600/80";110823;"0 шт"
CMMR-AS-C16-11A-P3-CO-S1;Стандартная;CANopen;16;48;8500;"3Ф 380 VAC";STO;"10, PNP/NPN";"6, PNP/NPN";"2, напряжение";"1, напряжение";"4, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit, Hengstler BISS-C 24 bit, Nikon A-format, инкрементальный ABZ (6ch line driver)";"SRH 1600/100";96855.24;"0 шт"
CMMR-AS-C-C12-3A-IO-S0;Базовая;"PULSE/DIR, DIO, AIO, Modbus-RTU";12;18;2000;"1Ф 220 VAC";Базовые;"4, NPN";"3, NPN";"2, напряжение";нет;"4, АВ/STEP-DIR/CW-CCW";"Tamagawa T-format 17 bit, Tamagawa T-format 23 bit, Reagle T-format 17 bit";"SR 20/100";47981.01;"0 шт"
