headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EHVFF12-12;"3/2 нормально закрытый";"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1008.42;"86 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";Форма;price;stock
EHVSS02-02G;"3/2 нормально закрытый";G1/4;G1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;683.50;"146 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EHVFF10-10B-A;2/2;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;987.06;"111 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";Форма;price;stock
EHVFS06-01-BG;2/2;"Цанговый штуцер 6 мм";G1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;536.57;"120 шт"
EHVFF10-10-A;"3/2 нормально закрытый";"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;937.87;"3 шт"
EHVFF12-12-A;"3/2 нормально закрытый";"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;1008.42;"15 шт"
EHVFS08-02B;2/2;"Цанговый штуцер 8 мм";G1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;330.75;"69 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EHVFF10-10B;2/2;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;987.06;"13 шт"
EHVFF10-10;"3/2 нормально закрытый";"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;987.06;"99 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";Форма;price;stock
EHVFF06-06;"3/2 нормально закрытый";"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;593.53;"141 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EHVFF12-12B;2/2;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1061.50;"263 шт"
EHVFF08-08B-A;2/2;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;661.49;"24 шт"
EHVFF06-06B-A;2/2;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;593.53;"1 шт"
EHVFS08-02PB;2/2;"Цанговый штуцер 8 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;568.29;"26 шт"
EHVFF08-08;"3/2 нормально закрытый";"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;661.49;"81 шт"
EHVFF06-06B;2/2;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;593.53;"132 шт"
EHVSS04-04PB;2/2;R1/2;R1/2;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1138.52;"0 шт"
EHVFS12-02P;"3/2 нормально закрытый";"Цанговый штуцер 12 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1020.07;"0 шт"
EHVFS10-03PB;2/2;"Цанговый штуцер 10 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;915.22;"0 шт"
EHVFS10-04P;"3/2 нормально закрытый";"Цанговый штуцер 10 мм";R1/2;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;949.52;"0 шт"
EHVSS02-02P;"3/2 нормально закрытый";R1/4;R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;621.36;"0 шт"
EHVFS12-02PB;2/2;"Цанговый штуцер 12 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1020.07;"0 шт"
EHVSS01-01P;"3/2 нормально закрытый";R1/8;R1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;582.53;"0 шт"
EHVFS10-03P;"3/2 нормально закрытый";"Цанговый штуцер 10 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;915.22;"0 шт"
EHVSS03-03PB;2/2;R3/8;R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;695.15;"0 шт"
EHVFS12-03P;"3/2 нормально закрытый";"Цанговый штуцер 12 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1020.07;"0 шт"
EHVSS04-04P;"3/2 нормально закрытый";R1/2;R1/2;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1138.52;"0 шт"
EHVFS10-04PB;2/2;"Цанговый штуцер 10 мм";R1/2;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;949.52;"0 шт"
EHVFS10-02P;"3/2 нормально закрытый";"Цанговый штуцер 10 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;884.80;"0 шт"
EHVSS02-02PB;2/2;R1/4;R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;621.36;"0 шт"
EHVFS10-02PB;2/2;"Цанговый штуцер 10 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;884.80;"0 шт"
EHVFS12-03PB;2/2;"Цанговый штуцер 12 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1020.07;"0 шт"
EHVFS08-03P;"3/2 нормально закрытый";"Цанговый штуцер 8 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;601.95;"0 шт"
EHVFS08-01PB;2/2;"Цанговый штуцер 8 мм";R1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;536.57;"0 шт"
EHVFS08-03PB;2/2;"Цанговый штуцер 8 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;601.95;"0 шт"
EHVFS06-03PB;2/2;"Цанговый штуцер 6 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;613.60;"0 шт"
EHVFS06-02PB;2/2;"Цанговый штуцер 6 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;568.29;"0 шт"
EHVFS06-03P;"3/2 нормально закрытый";"Цанговый штуцер 6 мм";R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;601.95;"0 шт"
EHVFS06-02P;"3/2 нормально закрытый";"Цанговый штуцер 6 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;568.29;"0 шт"
EHVFS06-01P;"3/2 нормально закрытый";"Цанговый штуцер 6 мм";R1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;536.57;"0 шт"
EHVFF12-12B-A;2/2;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;1061.50;"0 шт"
EHVSS01-01PB;2/2;R1/8;R1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;582.53;"0 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";Форма;price;stock
EHVFS08-02P;"3/2 нормально закрытый";"Цанговый штуцер 8 мм";R1/4;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;568.29;"0 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
EHVFF08-08B;2/2;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;661.49;"0 шт"
EHVFS08-01P;"3/2 нормально закрытый";"Цанговый штуцер 8 мм";R1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;536.57;"0 шт"
EHVFS06-01PB;2/2;"Цанговый штуцер 6 мм";R1/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;536.57;"0 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";Форма;price;stock
EHVSS03-03P;"3/2 нормально закрытый";R3/8;R3/8;"Фильтрованный сжатый воздух (40 мкм), вакуум";"0 … 0.8";"0 … +60";Полимер;NBR;Отсечной;695.15;"0 шт"
