headers;"Код заказа";"Для пневмоцилиндров";"Диаметр поршня, мм";"Материал крепления";"Материал монтажного штифта";"Материал подшипника";price;stock
FJ-VBC32DA;FVBC;32;Сталь;Сталь;Нет;1932.70;"1 шт"
FJ-VBC100DA;FVBC;100;Сталь;Сталь;Нет;4832.41;"22 шт"
FJ-VBC80DA;FVBC;80;Сталь;Сталь;Нет;4089.36;"41 шт"
FJ-VBC63DA;FVBC;63;Сталь;Сталь;Нет;2973.49;"11 шт"
FJ-VBC50DA;FVBC;50;Сталь;Сталь;Нет;2528.18;"17 шт"
FJ-VBC40DA;FVBC;40;Сталь;Сталь;Нет;2156.65;"4 шт"
FJ-VBC100CR;"FVBC / LBC / VBC / SF / ADNB";100;Сталь;Нет;Полимер;2904.88;"0 шт"
FJ-VBC63CR;"FVBC / LBC / VBC / SF / ADNB";63;Сталь;Нет;Полимер;1319.11;"82 шт"
FJ-VBC40CR;"FVBC / LBC / VBC / SF / ADNB";40;Сталь;Нет;Полимер;829.78;"71 шт"
FJ-VBC32CR;"FVBC / LBC / VBC / SF / ADNB";32;Сталь;Нет;Полимер;660.20;"57 шт"
FJ-VBC160CB;"DNGB / LBC / VBC";160;Сталь;Сталь;Нет;5754.10;"63 шт"
FJ-VBC100CB;"FVBC / LBC / VBC / SF / ADNB";100;Сталь;Сталь;Нет;2257.63;"10 шт"
FJ-VBC63CB;"FVBC / LBC / VBC / SF / ADNB";63;Сталь;Сталь;Нет;951.46;"308 шт"
FJ-VBC50CB;"FVBC / LBC / VBC / SF / ADNB";50;Сталь;Сталь;Нет;966.35;"804 шт"
FJ-VBC40CB;"FVBC / LBC / VBC / SF / ADNB";40;Сталь;Сталь;Нет;689.97;"169 шт"
FJ-VBC160CA;"DNGB / LBC / VBC";160;Сталь;Нет;Нет;4805.22;"25 шт"
FJ-VBC100CA;"FVBC / LBC / VBC / SF / ADNB";100;Сталь;Нет;Нет;1776.07;"119 шт"
FJ-VBC80CA;"FVBC / LBC / VBC / SF / ADNB";80;Сталь;Нет;Нет;1326.87;"244 шт"
FJ-VBC32CA;"FVBC / LBC / VBC / SF / ADNB";32;Сталь;Нет;Нет;574.12;"27 шт"
