headers;"Код заказа";Серия;Типоразмер;"Усилие подачи, Н";"Постоянная подачи, мм/об.";"Рабочий ход, мм";"Макс. скорость, м/с";"Повторяемость, мм";"Диаметр шкива, мм";"Тип направляющей";"Макс. ускорение, м/с2";"Макс. крутящий момент на шкиве";"Класс пылевлагозащиты";price;stock
GTC80-L48-1500-D01-M40-14;GTC;80;80;48;1500;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;100686.99;"0 шт"
GTC80-L48-1250-D01-M40-14;GTC;80;80;48;1250;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;91949.05;"0 шт"
GTC80-L48-1000-D01-M40-14;GTC;80;80;48;1000;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;83256.41;"0 шт"
GTC80-L48-750-D01-M40-14;GTC;80;80;48;750;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;74602.61;"0 шт"
GTC80-L48-500-D01-M40-14;GTC;80;80;48;500;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;65955.28;"0 шт"
GTC80-L48-250-D01-M40-14;GTC;80;80;48;250;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;57353.27;"0 шт"
GTC80-L48-100-D01-M40-14;GTC;80;80;48;100;2.4;±0.04;15.28;"Качения, с рециркулирующими шариками";40;0.61;IP54;53430.90;"0 шт"
GTC50-L40-1500-D01-M10-8;GTC;50;48;40;1500;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;84201.40;"0 шт"
GTC50-L40-1250-D01-M10-8;GTC;50;48;40;1250;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;76990.98;"0 шт"
GTC50-L40-1000-D01-M10-8;GTC;50;48;40;1000;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;69741.73;"0 шт"
GTC50-L40-750-D01-M10-8;GTC;50;48;40;750;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;62486;"0 шт"
GTC50-L40-500-D01-M10-8;GTC;50;48;40;500;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;55320.88;"0 шт"
GTC50-L40-250-D01-M10-8;GTC;50;48;40;250;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;48162.24;"0 шт"
GTC50-L40-100-D01-M10-8;GTC;50;48;40;100;2.0;±0.04;12.73;"Качения, с рециркулирующими шариками";40;0.31;IP54;43838.58;"0 шт"
