headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Максимальная частота, Гц";"Материал корпуса";"Материал уплотнений";price;stock
RVA3231-10QM;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G3/8;"Стыковая поверхность NAMUR";-;G3/8;G3/8;1650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;Алюминий;HNBR;2007.79;"0 шт"
RVA3231-08QM;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G1/4;"Стыковая поверхность NAMUR";-;G1/4;G1/4;1370;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;Алюминий;HNBR;2007.79;"0 шт"
RVA3221-08QM;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G1/4;"Стыковая поверхность NAMUR";-;G1/4;G1/4;870;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;Алюминий;HNBR;1632.38;"0 шт"
RVA3221-06QM;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G1/8;"Стыковая поверхность NAMUR";-;G1/8;G1/8;750;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;Алюминий;HNBR;1632.38;"0 шт"
RVA3211-06QM;"3/2 Н.З. моностабильный";Пневматическое;"Пневматическая пружина";G1/8;"Стыковая поверхность NAMUR";-;G1/8;G1/8;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;Алюминий;HNBR;1719.11;"0 шт"
RVA5342E-15M;"5/3. центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G1/2;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/2;G1/2;1650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;5754.10;"0 шт"
RVA5332E-10M;"5/3. центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G3/8;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;980;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;4486.77;"0 шт"
RVA5322E-08M;"5/3. центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/8;G1/8;660;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;3449.87;"0 шт"
RVA5312E-06M;"5/3. центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G1/8;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/8;G1/8;490;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;4133.37;"0 шт"
RVA5342P-15M;"5/3. центральная позиция под давлением";Пневматическое;"Механическая пружина";G1/2;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/2;G1/2;1650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;5754.10;"0 шт"
RVA5332P-10M;"5/3. центральная позиция под давлением";Пневматическое;"Механическая пружина";G3/8;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;980;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;4486.77;"0 шт"
RVA5322P-08M;"5/3. центральная позиция под давлением";Пневматическое;"Механическая пружина";G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/8;G1/8;660;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;Алюминий;HNBR;3449.87;"0 шт"
