headers;"Код заказа";"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Тип направляющей";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал каретки";"Материал уплотнений";price;stock
ESW16x250;16;250;да;нет;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";12646.07;"0 шт"
ESW16x200;16;200;да;нет;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";12343.15;"0 шт"
ESW16x150;16;150;да;нет;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";12146.39;"0 шт"
ESW16x100;16;100;да;нет;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";11864.18;"0 шт"
ESW16x50;16;50;да;нет;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";11667.42;"0 шт"
ESWT16x150-S-B;16;150;да;"Направляющая скольжения";"Амортизаторы с обеих сторон";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.18...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";25954.93;"0 шт"
ESWT16x100-S-B;16;100;да;"Направляющая скольжения";"Амортизаторы с обеих сторон";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.18...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";25417.70;"0 шт"
ESWT16x50-S-B;16;50;да;"Направляющая скольжения";"Амортизаторы с обеих сторон";М5;"Сжатый воздух (степень фильтрации 40 мкм)";0.18...0.7;"-20...+70 (без замерзания)";120;120;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";24880.48;"0 шт"
ESW32x800;32;800;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";29734.89;"0 шт"
ESW32x700;32;700;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";28595.73;"0 шт"
ESW32x600;32;600;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";27450.08;"0 шт"
ESW32x500;32;500;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";26304.44;"0 шт"
ESW32x450;32;450;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";25838.42;"0 шт"
ESW32x400;32;400;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";25268.84;"0 шт"
ESW32x350;32;350;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";24783.39;"0 шт"
ESW32x300;32;300;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";24213.81;"0 шт"
ESW32x250;32;250;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";23741.31;"0 шт"
ESW32x200;32;200;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";23171.73;"0 шт"
ESW32x150;32;150;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";22686.29;"0 шт"
ESW32x100;32;100;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";22110.23;"0 шт"
ESW32x50;32;50;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";560;560;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";21734.82;"0 шт"
ESW25x800;25;800;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";330;330;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";20395.01;"0 шт"
ESW25x700;25;700;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";330;330;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";19443.54;"0 шт"
ESW25x600;25;600;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";330;330;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";18492.08;"0 шт"
ESW25x500;25;500;да;нет;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15...0.7;"-20...+70 (без замерзания)";330;330;Алюминий;"Нержавеющая сталь";Алюминий;"TPU, NBR";17644.17;"0 шт"
