headers;"Код заказа";"Серия пневмоцилиндров";"Диаметр поршня, мм";price;stock
SF25-XLB;SF;25;186.41;"21 шт"
SGM40-XLB;"SGL / SGM";40;357.28;"10 шт"
SF50-XLB;SF;50;214.24;"21 шт"
VBC160-XLB;LBC;160;1159.88;"153 шт"
VBC200-XLB;LBC;200;2022.02;"22 шт"
VBC100-XLB;"FVBC / VBC / LBC";100;1785.13;"73 шт"
VBC80-XLB;"FVBC / VBC / LBC";80;1559.88;"119 шт"
VBC63-XLB;"FVBC / VBC / LBC";63;1216.19;"94 шт"
VBC50-XLB;"FVBC / VBC / LBC";50;1013.60;"154 шт"
VBC40-XLB;"FVBC / VBC / LBC";40;886.74;"76 шт"
VBC32-XLB;"FVBC / VBC / LBC";32;704.86;"101 шт"
LBC250-XLB;LBC;250;2349.54;"2 шт"
VBC125-XLB;LBC;125;985.77;"26 шт"
SF100-XLB;SF;100;498.39;"0 шт"
SF80-XLB;SF;80;342.40;"0 шт"
SF63-XLB;SF;63;245.96;"0 шт"
SF32-XLB;SF;32;198.06;"0 шт"
SF20-XLB;SF;20;175.41;"0 шт"
SGM63-XLB;"SGL / SGM";63;502.92;"0 шт"
SGM50-XLB;"SGL / SGM";50;405.18;"0 шт"
SGM32-XLB;"SGL / SGM";32;324.27;"0 шт"
SGM25-XLB;"SGL / SGM";25;288.68;"0 шт"
SGM16-XLB;"SGL / SGM";16;324.27;"0 шт"
SGM12-XLB;"SGL / SGM";12;256.31;"0 шт"
SFD100-XLB;SFD;100;797.42;"0 шт"
SFD80-XLB;SFD;80;546.93;"0 шт"
SFD63-XLB;SFD;63;392.88;"0 шт"
SFD50-XLB;SFD;50;357.28;"0 шт"
SFD40-XLB;SFD;40;328.81;"0 шт"
SFD32-XLB;SFD;32;317.15;"0 шт"
SFD25-XLB;SFD;25;297.74;"0 шт"
SFD20-XLB;SFD;20;281.56;"0 шт"
SF40-XLB;SF;40;218.12;"0 шт"
SGM20-XLB;"SGL / SGM";20;264.08;"0 шт"
