headers;"Код заказа";"Функция распределителя";"Тип управления";"Питание пилота";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Рабочее напряжение";"Мощность катушки";"Степень защиты";"Максимальная частота, Гц";"Время переключения, сек";"Материал корпуса";"Материал уплотнений";price;stock
RV5232-08ME4;"5/2 бистабильный";Электромагнитное;Внутреннее;-;G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;1400;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"24 В пост. тока";"3 Вт";IP65;5;<0.05;Алюминий;HNBR;3943.08;"54 шт"
RV5231-10QME4;"5/2 моностабильный";Электромагнитное;Внутреннее;Пневматический;G3/8;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;1650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"24 В пост. тока";"3 Вт";IP65;5;<0.05;Алюминий;HNBR;2322.35;"5 шт"
RV5231-08QME4;"5/2 моностабильный";Электромагнитное;Внутреннее;Пневматический;G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;1400;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"24 В пост. тока";"3 Вт";IP65;5;<0.05;Алюминий;HNBR;1901.64;"487 шт"
RV5231-08QM-WX;"5/2 моностабильный";Электромагнитное;Внутреннее;Пневматический;G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;1400;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"без катушки";0;IP65;5;<0.05;Алюминий;HNBR;2189.02;"7 шт"
V523231-08MGE4;"5/2 моностабильный или 3/2 Н.З. моностабильный";Электромагнитное;Внутреннее;"Механическая пружина";G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;"Для 5/2 - 1830 л/мин, для 3/2 - 1090 л/мин";0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-5…+60;"24 В пост. тока";"3 Вт";IP65;5;<0.05;Алюминий;HNBR;2402.61;"3 шт"
RV5332C-08ME2;"5/3 центральная позиция закрытая";Электромагнитное;Внутреннее;"Механическая пружина";G1/4;"Стыковая поверхность NAMUR";"Стыковая поверхность NAMUR";G1/4;G1/4;980;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"220 В перем. тока";"4 ВА";IP65;5;<0.05;Алюминий;HNBR;6441.48;"1 шт"
RV3222-06ME2;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;750;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"220 В перем. тока";"4 ВА";IP65;5;<0.05;Алюминий;HNBR;3324.30;"0 шт"
RV3222-06ME1;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;750;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"110 В перем. тока";"4 ВА";IP65;5;<0.05;Алюминий;HNBR;3324.30;"0 шт"
RV3212-06ME10;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"36 В пост. тока";"2.8 Вт";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME9;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"48 В пост. тока";"2.8 Вт";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME8;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"110 В пост. тока";"2.8 Вт";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME7;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"24 В перем. тока";"3 ВА";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME6;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"36 В перем. тока";"3 ВА";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME5;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"12 В пост. тока";"2.8 Вт";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME4;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"24 В пост. тока";"2.8 Вт";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME2;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"220 В перем. тока";"3 ВА";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
RV3212-06ME1;"3/2 бистабильный";Электромагнитное;Внутреннее;-;G1/8;"Стыковая поверхность NAMUR";-;G1/8;-;650;0.15…0.8;"Фильтрованный сжатый воздух (40 мкм)";-20…+70;"110 В перем. тока";"3 ВА";IP65;5;<0.05;Алюминий;HNBR;3637.57;"0 шт"
